Almacen;Categoria;Modelo;Color;Unidades;Reservadas;CostoUnitario;Valor
PRINCIPAL;CASO DE USO 1;HONDA CITY 1.5L A/T EXL 2026;Azul Cosmico;1;0;34158.32;34158.32
PRINCIPAL;CASO DE USO 1;HONDA CITY 1.5L A/T EXL 2026;Blanco Perlado;1;1;0.0;0.0
PRINCIPAL;CASO DE USO 3;HONDA HR-V 1.5L A/T EXL 2026;Azul Cosmico;1;0;43358.28;43358.28
PRINCIPAL;CASO DE USO 3;HONDA HR-V 1.5L A/T EXL 2026;Gris Metalico;2;1;0.0;0.0
PRINCIPAL;CASO DE USO 3;HONDA WR-V 1.5L A/T EXL 2026;Azul Cosmico;2;0;38937.52;77875.04
PRINCIPAL;CASO DE USO 3;HONDA WR-V 1.5L A/T EXL 2026;Blanco;1;0;0.0;0.0
REPARACION;All;HONDA HR-V 1.5L A/T LX 2026;Plata Metalico;1;0;38937.52;38937.52
RESERVAS;All;HONDA HR-V 1.5L A/T LX 2026;Blanco Perlado;1;0;0.0;0.0
RESERVAS;CASO DE USO 1;HONDA CITY 1.5L A/T EXL 2026;Gris Metalico;1;0;0.0;0.0
RESERVAS;CASO DE USO 3;HONDA HR-V 1.5L A/T EXL 2026;Plata Metalico;1;0;0.0;0.0
RESERVAS;CASO DE USO 3;HONDA WR-V 1.5L A/T EXL 2026;Azul Nordico;1;0;0.0;0.0
RESERVAS;CASO DE USO 3;HONDA WR-V 1.5L A/T EXL 2026;Blanco;1;0;0.0;0.0
RESERVAS;CASO DE USO 3;HONDA WR-V 1.5L A/T EXL 2026;Plata Metalico;1;0;0.0;0.0
